"","","MISSISSIPPI DEPARTMENT OF CORRECTIONS","","",""
"","","MONTHLY FACT SHEET","","",""
"","","As of December 1, 2002","","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS","","",""
"Probation","10,673","51.63%","","",""
"Compact Probation","1,042","5.04%","","",""
"Nonadjudicated","2,190","10.59%","","",""
"Post Release","2,459","11.89%","","",""
"","16,364","79.15%","Probation Total","",""
"Parole","1,429","6.91%","","",""
"Compact Parole","392","1.90%","","",""
"Suspension","7","0.03%","","",""
"","1,828","8.84%","Parole Total","",""
"Intensive Supervision Program - Court","1,159","5.61%","","",""
"Intensive Supervision Program - Prison","273","1.32%","","",""
"Earned Release Supervision","1,050","5.08%","","",""
"Medical Release","0","0.00%","","",""
"","2,482","12.01%","Community Inmate Total","",""
"TOTAL","20,674","100.00%","","",""
"PROBATION STATISTICS","","","","",""
"BY RACE AND SEX","","","","",""
"","% OF","","% OF","",""
"","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE
MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
7,585","60.32%","2,067","54.96%","9,652","58.98%"
"White
4,875","38.77%","1,645","43.74%","6,520","39.84%"
"Hispanic
54","0.43%","18","0.48%","72","0.44%"
"Native American
27","0.21%","7","0.19%","34","0.21%"
"Asian
33","0.26%","24","0.64%","57","0.35%"
"Data Unavailable
0","0.00%","0","0.00%","29","0.18%"
"TOTAL
12,574","100.00%","3,761","100.00%","16,364","100.00%"
"BY OFFENSE","","","","",""
"NO. OF","% of TOTAL","","","",""
"OFFENSE
OFFENDERS","OFFENDERS","","","",""
"Violent
1,983","12.12%","","","",""
"Property
9,322","56.97%","","","",""
"Drug
5,059","30.92%","","","",""
"TOTAL
16,364","100.00%","","","",""
"PAROLE STATISTICS","","","","",""
"BY RACE AND SEX","","","","",""
"","% OF","","% OF","",""
"","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE
MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
1,155","71.92%","123","55.41%","1,278","69.91%"
"White
441","27.46%","98","44.14%","539","29.49%"
"Hispanic
6","0.37%","","0.45%","7","0.38%"
"Native American
2","0.12%","1 0 0","0.00%","","0.11%"
"Asian
2","0.12%","","0.00%","22","0.11%"
"TOTAL
1,606","100.00%","222","100.00%","1,828","100.00%"
"BY OFFENSE","","","","",""
"NO. OF","% of TOTAL","","","",""
"OFFENSE
OFFENDERS","OFFENDERS","","","",""
"Violent
646","35.34%","","","",""
"Property
547","29.92%","","","",""
"Drug
635","34.74%","","","",""
"TOTAL
1,828","100.00%","","","",""
