"INMATE STATISTICS","","",""
"BY LOCATION","","",""
"","","NO. OF","% OF TOTAL"
"","CAPACITY","OFFENDERS","OFFENDERS"
"Mississippi State Penitentiary","3,590","3,254","11.57%"
"Central Mississippi Correctional Facility","4,094","3,805","13.52%"
"South Mississippi Correctional Institution","3,082","2,616","9.30%"
"Youthful Offender Facility","58","24","0.09%"
"County Jails - Approved","1,781","717","2.55%"
"County Jails - Unapproved","0","217","0.77%"
"Community Work Centers","1,154","554","1.97%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,759","11,187","39.76%"
"Regional Correctional Facilities","","",""
"Alcorn County Correctional Facility","300","287","1.02%"
"Bolivar County Correctional Facility","369","271","0.96%"
"Carroll County Correctional Facility","280","240","0.85%"
"Chickasaw County Correctional Facility","310","296","1.05%"
"George County Correctional Facility","280","334","1.19%"
"Holmes County Correctional Facility","280","274","0.97%"
"Issaquena County Correctional Facility","274","312","1.11%"
"Jefferson County Correctional Facility","280","273","0.97%"
"Kemper County Correctional Facility","355","301","1.07%"
"Leake County Correctional Facility","280","252","0.90%"
"Marion County Correctional Facility","280","341","1.21%"
"Stone County Correctional Facility","326","274","0.97%"
"Washington County Correctional Facility","300","115","0.41%"
"Winston County Correctional Facility","280","206","0.73%"
"Yazoo County Correctional Facility","300","285","1.01%"
"TOTAL REGIONAL FACILITIES","4,494","4,061","14.43%"
"Private Prisons","","",""
"East MS Correctional Facility","1,500","1,166","4.14%"
"Marshall County Correctional Facility","1,000","944","3.36%"
"Tallahatchie Correctional Facility","1,000","555","1.97%"
"Wilkinson County Correctional Facility","1,000","860","3.06%"
"TOTAL PRIVATE PRISONS","12,229","10,553","37.51%"
