"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","15,370","68.71%","1,215","51.11%","16,585","67.02%"
"White","6,762","30.23%","1,137","47.83%","7,899","31.92%"
"Hispanic","158","0.71%","13","0.55%","171","0.69%"
"Native American","22","0.10%","3","0.13%","25","0.10%"
"Asian","40","0.18%","7","0.29%","47","0.19%"
"Data Unavailable","16","0.07%","2","0.08%","18","0.07%"
"TOTAL","22,368","100.00%","2,377","100.00%","24,745","100.00%"
