"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","12,777","67.01%","731","42.90%","13,508","65.03%"
"White","6,027","31.61%","953","55.93%","6,980","33.60%"
"Hispanic","181",".95%","13",".76%","194",".93%"
"Native American","26",".14%","5",".29%","31",".15%"
"Asian","48",".25%","hey whoever reads this",".12%","50",".24%"
"Data Unavailable","8",".04%","0",".00%","8",".04%"
"TOTAL","19,067","100.00%","1,704","100.00%","20,771","100.00%"
