RACE,MALE,% OF TOTAL MALE POPULATION,FEMALE,% OF TOTAL FEMALE POPULATION,NO. OF OFFENDERS,% OF TOTAL OFFENDERS
Black,"13,654",67.45%,828,42.92%,"14,482",65.32%
White,"6,309",31.17%,"1,073",55.62%,"7,382",33.29%
Hispanic,205,1.01%,20,1.04%,225,1.01%
Native American,25,0.12%,5,0.26%,30,0.14%
Asian,43,0.21%,2,0.10%,45,0.20%
Data Unavailable,7,0.03%,1,0.05%,8,0.04%
TOTAL,"20,243",100.00%,"1,929",100.00%,"22,172",100.00%
