"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","15,915","69.03%","1,166","48.97%","17,081","67.15%"
"White","6,822","29.59%","1,191","50.02%","8,013","31.50%"
"Hispanic","241","1.05%","16","0.67%","257","1.01%"
"Native American","28","0.12%","3","0.13%","31","0.12%"
"Asian","38","0.16%","3","0.13%","41","0.16%"
"Data Unavailable","12","0.05%","2","0.08%","14","0.06%"
"TOTAL","23,056","100.00%","2,381","100.00%","25,437","100.00%"
