"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","16,147","69.05%","1,203","49.67%","17,350","67.23%"
"White","6,921","29.59%","1,194","49.30%","8,115","31.44%"
"Hispanic","241","1.03%","16","0.66%","257","1.00%"
"Native American","28","0.12%","3","0.12%","31","0.12%"
"Asian","39","0.17%","3","0.12%","42","0.16%"
"Data Unavailable","10","0.04%","3","0.12%","13","0.05%"
"TOTAL","23,386","100.00%","2,422","100.00%","25,808","100.00%"
