"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","12,303","63.90%","608","35.62%","12,911","61.59%"
"White","6,656","34.57%","1,069","62.62%","7,725","36.85%"
"Hispanic","204","1.06%","18","1.05%","222","1.06%"
"Native American","29",".15%","5",".29%","34",".16%"
"Asian","57",".30%","4",".23%","61",".29%"
"Data Unavailable","6",".03%","3",".18%","9",".04%"
"TOTAL","19,255","100.00%","1,707","100.00%","20,962","100.00%"
