"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","15,804","68.72%","1,250","50.12%","17,054","66.90%"
"White","6,917","30.08%","1,214","48.68%","8,131","31.90%"
"Hispanic","188","0.82%","15","0.60%","203","0.80%"
"Native American","29","0.13%","6","0.24%","35","0.14%"
"Asian","38","0.17%","4","0.16%","42","0.16%"
"Data Unavailable","22","0.10%","5","0.20%","27","0.11%"
"TOTAL","22,998","100.00%","2,494","100.00%","25,492","100.00%"
