"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","12,916","66.31%","718","41.87%","13,634","64.33%"
"White","6,302","32.35%","973","56.73%","7,275","34.33%"
"Hispanic","184",".94%","17",".99%","201",".95%"
"Native American","27",".14%","5",".29%","32",".15%"
"Asian","42",".22%","1",".06%","43",".20%"
"Data Unavailable","7",".04%","1",".06%","8",".04%"
"TOTAL","19,478","100.00%","1,715","100.00%","21,193","100.00%"
