"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","12,448","64.39%","596","35.39%","13,044","62.07%"
"White","6,598","34.13%","1,061","63.00%","7,659","36.45%"
"Hispanic","195","1.01%","18","1.07%","213","1.01%"
"Native American","29",".15%","4",".24%","33",".16%"
"Asian","55",".28%","3",".18%","58",".28%"
"Data Unavailable","6",".03%","2",".12%","8",".04%"
"TOTAL","19,331","100.00%","1,684","100.00%","21,015","100.00%"
