"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","14,410","71.43%","1,150","59.22%","15,560","70.35%"
"White","5,650","28.00%","773","39.80%","6,423","29.04%"
"Hispanic","75","0.37%","9","0.46%","84","0.38%"
"Native American","22","0.11%","5","0.26%","27","0.12%"
"Asian","17","0.08%","5","0.26%","22","0.10%"
"Data Unavailable","1","0.00%","0","0.00%","1","0.00%"
"TOTAL","20,175","100.00%","1,942","100.00%","22,117","100.00%"
