"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","15,092","67.99%","1,007","45.28%","16,099","65.93%"
"White","6,829","30.77%","1,189","53.46%","8,018","32.83%"
"Hispanic","208",".94%","19",".85%","227",".93%"
"Native American","31",".14%","7",".31%","38",".16%"
"Asian","27",".12%","2",".09%","29",".12%"
"Data Unavailable","9",".04%","0",".00%","9",".04%"
"TOTAL","22,196","100.00%","2,224","100.00%","24,420","100.00%"
