"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","15,265","68.87%","1,204","49.83%","16,469","67.00%"
"White","6,645","29.98%","1,190","49.25%","7,835","31.88%"
"Hispanic","162","0.73%","14","0.58%","176","0.72%"
"Native American","27","0.12%","2","0.08%","29","0.12%"
"Asian","36","0.16%","4","0.17%","40","0.16%"
"Data Unavailable","29","0.13%","2","0.08%","31","0.13%"
"TOTAL","22,164","100.00%","2,416","100.00%","24,580","100.00%"
