"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","14,259","67.27%","822","42.79%","15,081","65.23%"
"White","6,716","31.68%","1,081","56.27%","7,797","33.73%"
"Hispanic","160",".75%","13",".68%","173",".75%"
"Native American","21",".10%","4",".21%","25",".11%"
"Asian","37",".17%","1",".05%","38",".16%"
"Data Unavailable","5",".02%","0",".00%","5",".02%"
"TOTAL","21,198","100.00%","1,921","100.00%","23,119","100.00%"
