"OFFENSE","Average Sentence Length in Years"
"CHILD ENDANGERMENT","6.8"
"CHILD MOLESTATION","9.0"
"CHILD PORNOGRAPHY","7.5"
"DEPICTING A CHILD ENGAGING IN SEXUAL CONDUCT ON 
COMPUTER","7.7"
"ENTICE CHILD FOR INDECENT PURPOSES","7.5"
"EXPLOITATION/CHILD","9.2"
"FONDLING","6.1"
"FONDLING A CHILD","6.6"
"FORCIBLE SEXUAL INTERCOURSE","38.3"
"GRATIFICATION/LUST","6.6"
"HUMAN TRAFFICKING","12.0"
"KIDNAP MINOR","14.7"
"RAPE","14.8"
"SEXUAL BATTERY","12.6"
"SEXUAL PENETRATION OF INCARCERATED OFFENDER BY 
LAW ENFORCEMENT","2.0"
"STATUTORY RAPE","9.3"
"UNLAWFUL TOUCHING/CHILD","8.9"
"VIDEO VOYEURISM-PHOTOGRAPHING OR FILMING","5.0"
"UNNATURAL INTERCOURSE","2.0"
"COMPUTER LURING OF CHILD FOR SEXUAL CONDUCT","2.7"
"PROCURING SEXUAL SERVITUDE OF A MINOR","10.0"
"SEX OFFENSE","2.0"
"INCEST","5.0"
