"OFFENSE","Average Age at Time of Sentence"
"CHILD ENDANGERMENT","32"
"CHILD MOLESTATION","48"
"CHILD PORNOGRAPHY","55"
"DEPICTING A CHILD ENGAGING IN SEXUAL CONDUCT ON 
COMPUTER","40"
"ENTICE CHILD FOR INDECENT PURPOSES","38"
"EXPLOITATION/CHILD","38"
"FONDLING","43"
"FONDLING A CHILD","45"
"FORCIBLE SEXUAL INTERCOURSE","45"
"GRATIFICATION/LUST","38"
"HUMAN TRAFFICKING","32"
"KIDNAP MINOR","30"
"RAPE","32"
"SEXUAL BATTERY","35"
"SEXUAL PENETRATION OF INCARCERATED OFFENDER BY 
LAW ENFORCEMENT","29"
"STATUTORY RAPE","31"
"UNLAWFUL TOUCHING/CHILD","39"
"VIDEO VOYEURISM-PHOTOGRAPHING OR FILMING","29"
"UNNATURAL INTERCOURSE","42"
"COMPUTER LURING OF CHILD FOR SEXUAL CONDUCT","35"
"PROCURING SEXUAL SERVITUDE OF A MINOR","26"
"SEX OFFENSE","28"
"INCEST","44"
