"RACE","MALE","FEMALE","TOTAL","PERCENT"
"White","3,134","730","3,864","46.14%"
"Black","4,136","289","4,425","52.84%"
"Hispanic","58","5","63","0.75%"
"Other","22","1","23","0.27%"
"TOTAL","7,350","1,025","8,375","100.00%"
