"Offense","Black","White","Hispanic","Other","Total"
"DRUG","105","115","","1","221"
"NON-VIOLENT","160","125","3","0","288"
"SEX","16","38","1","0","55"
"VIOLENT","72","45","1","0","118"
"Total","353","323","5","1","682"
