"Race","Male","Female","Total","Percent"
"White","0","5","5","13.16%"
"Black","32","1","33","86.84%"
"Hispanic","0","0","0","0.00%"
"Other","0","0","0","0.00%"
"Total","32","6","38","100.00%"
