"Age","Male","Female","Total","Percent"
"50-59","551","66","617","81.08%"
"60-69","126","12","138","18.13%"
"70-79","5","1","6","0.79%"
"80+","0","0","0","0.00%"
"Unknown","0","0","0","0.00%"
"Total","682","79","761","100.00%"
