"AGE","MALE","FEMALE","TOTAL","PERCENT"
"15","7","0","7","0.08%"
"16","14","0","14","0.17%"
"17","16","1","17","0.20%"
"18-19","193","10","203","2.42%"
"20-29","2,711","319","3,030","36.18%"
"30-39","2,520","420","2,940","35.10%"
"40-49","1,197","196","1,393","16.63%"
"50-59","551","66","617","7.37%"
"60-69","126","12","138","1.65%"
"70-79","15","1","16","0.19%"
"80+","0","0","0","0.00%"
"Unknown","0","0","0","0.00%"
"TOTAL","7,350","1,025","8,375","100.00%"
