"Race","Male","Female","Total","Percent"
"White","1,123","321","1,444","50.33%"
"Black","1,307","89","1,396","48.66%"
"Hispanic","21","3","24","0.84%"
"Other","4","1","5","0.17%"
"Unknown","0","0","0","0.00%"
"Total","2,455","414","2,869","100.00%"
