"Age","Male","Female","Total","Percent"
"18-19","4","1","5","0.17%"
"20-29","676","114","790","27.54%"
"30-39","1,083","180","1,263","44.02%"
"40-49","468","87","555","19.34%"
"50-59","182","28","210","7.32%"
"60-69","38","3","41","1.43%"
"70-79","4","1","5","0.17%"
"80+","0","0","0","0.00%"
"Total","2,455","414","2,869","100.00%"
