"Race","Male","Female","Total","Percent"
"White","323","57","380","49.93%"
"Black","353","22","375","49.28%"
"Hispanic","5","0","5","0.66%"
"Other","1","0","1","0.13%"
"Unknown","0","0","0","0.00%"
"Total","682","79","761","100.00%"
