"CLASS","MALE AND FEMALE","%"
"Min. Community","3,984","16.39"
"Min. Non-Community","4,028","16.57"
"Medium","11,621","47.80"
"Close","2,505","10.30"
"Death Row","58",".24"
"*Unclassified","2,118","8.71"
"TOTAL","24,314","100.00"
