"MALE","BLACK","WHTIE","HISPANIC","OTHER","TOTAL","%"
"Less than 1 year","133","102","2","1","238","1.07"
"1 - 2 Years","994","733","21","12","1,760","7.94"
"3 - 5 Years","2,925","1,606","22","13","4,566","20.60"
"6 - 10 Years","3,910","1,856","60","12","5,839","26.34"
"11 - 20 Years","3,578","1,421","33","13","5,046","22.76"
"21 -30 Years","1,076","342","14","1","1,433","6.47"
"Greater Than 30 Years","653","163","5","3","824","3.72"
"Life","1,391","498","8","4","1,901","8.58"
"Death","33","22","0","1","56",".25"
"Verification Pending","293","199","3","6","499","2.26"
"TOTAL","14,986","6,942","168","66","22,162","100.00"
