"FEMALE","BLACK","WHITE","HISPANIC","OTHER","TOTAL"
"*Y","0","0","0","0","0"
"*0","1","0","0","0","1"
"1","447","596","5","2","1,050"
"2","191","298","2","1","492"
"3","103","128","1","1","233"
"4","16","13","0","0","29"
"5","8","3","0","0","11"
"Verification Pending","127","206","2","1","336"
"TOTAL","893","1,244","10","5","2,152"
