"COUNTY","OFFENDERS","%"
"Alcorn","345","4.13"
"Montgomery","119","1.42"
"Attala","207","2.48"
"Panola","356","4.26"
"Benton","53",".63"
"Pontotoc","280","3.35"
"Bolivar","286","3.42"
"Prentiss","229","2.74"
"Calhoun","148","1.77"
"Quitman","72",".86"
"Carroll","92","1.10"
"Sunflower","262","3.14"
"Chickasaw","176","2.11"
"Tallahatchie","130","1.56"
"Choctaw","76",".91"
"Tate","244","2.92"
"Coahoma","346","4.14"
"Tippah","84","1.01"
"Desoto","952","11.39"
"Tishomingo","108","1.29"
"Grenada","331","3.96"
"Tunica","182","2.18"
"Itawamba","199","2.38"
"Union","214","2.56"
"Lafayette","253","3.03"
"Washington","488","5.84"
"Lee","899","10.76"
"Webster","60",".72"
"Leflore","309","3.70"
"Winston","139","1.66"
"Marshall","332","3.97"
"Yalobusha","97","1.16"
"Monroe","289","3.46"
"Adams","245","4.21"
"Lincoln","339","5.83"
"Amite","90","1.55"
"Madison","761","13.08"
"Claiborne","69","1.19"
"Pike","509","8.75"
"Copiah","289","4.97"
"Rankin","963","16.56"
]"Franklin","75","1.29"
"Sharkey","27",".46"
"Hinds","1,469","25.26"
"Walthall","134","2.30"
"Holmes","136","2.34"
"Warren","392","6.74"
"Humphreys","78","1.34"
"Wilkinson","40",".69"
"Issaquena","4",".07"
"Yazoo","138","2.37"
"Jefferson","58","1.00"
"Clarke","133","1.32"
"Lawrence","77",".77"
"Clay","249","2.48"
"Leake","165","1.64"
"Covington","71",".71"
"Lowndes","956","9.52"
"Forrest","834","8.31"
"Marion","253","2.52"
"George","116","1.16"
"Neshoba","232","2.31"
"Greene","52",".52"
"Newton","143","1.42"
"Hancock","274","2.73"
"Noxubee","63",".63"
"Harrison","1,980","19.72"
"Oktibbeha","547","5.45"
"Jackson","849","8.45"
"Pearl River","361","3.59"
"Jasper","60",".60"
"Perry","92",".92"
"Jeff Davis","64",".64"
"Scott","290","2.89"
"Jones","448","4.46"
"Simpson","111","1.11"
"Kemper","47",".47"
"Smith","62",".62"
"Lamar","254","2.53"
"Stone","110","1.10"
"Lauderdale","940","9.36"
"Wayne","209","2.08"
"Verification Pending","99",".41"
"TOTAL","24,314","100.00"
