"MALE","BLACK","WHITE","HISPANIC","OTHER","UNKNOWN","TOTAL"
"*Y","1","1","0","0","0","2"
"*0","2","2","0","0","0","4"
"1","11,042","4,530","118","43","1","15,734"
"2","2,159","1,190","24","7","1","3,381"
"3","1,111","611","9","3","0","1,734"
"4","138","107","4","1","0","250"
"5","46","20","0","0","0","66"
"Verification Pending","487","481","13","7","3","990"
"TOTAL","14,986","6,942","168","61","5","22,162"
