"MALE","BLACK","","WHITE   HISPANIC  OTHER  UNKNOWN","","","TOTAL"
"Min. Community","2,279","1,171","11","13","0","3,471"
"Min. Non-Community","2,228","1,356","16","2","0","3,611"
"Medium","7,436","3,283","115","27","2","10,863"
"Close","2,079","388","11","2","0","2,480"
"Death Row","33","22","0","1","0","56"
"*Unclassified","931","722","15","61","3","1,681"
"TOTAL 
PERCENT","14,986 
67.62","6,942 
31.32","168 
.76","61 
.28","5 
.02","22,162 
100.00"
