"FEMALE","BLACK","WHITE","HISPANIC","OTHER","TOTAL"
"16","0","0","0","0","0"
"17","0","0","0","0","0"
"18 - 19","15","7","0","0","22"
"20 - 29","289","369","2","3","663"
"30 - 39","279","414","5","1","699"
"40 - 49","208","316","2","1","527"
"50 - 59","86","117","1","0","204"
"60 - 69","13","19","0","0","32"
"70 - 79","3","2","0","0","5"
"80+","0","0","0","0","0"
"TOTAL","893","1,244","10","5","2,152"
