"FEMALE","BLACK","WHITE","HISPANIC","OTHER","TOTAL","%"
"Less than 1 year","18","39","0","1","58","2.70"
"1 - 2 Years","154","251","3","0","408","18.96"
"3 - 5 Years","207","333","2","1","543","25.23"
"6 - 10 Years","225","328","1","0","554","25.74"
"11 - 20 Years","176","173","2","1","352","16.36"
"21 -30 Years","30","32","0","0","62","2.88"
"Greater Than 30 Years","13","11","0","0","24","1.12"
"Life","49","41","0","1","91","4.23"
"Death","0","2","0","0","2",".09"
"Verification Pending","21","34","2","1","58","2.70"
"TOTAL","893","1,244","10","5","2,152","100.00"
