"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","14,217","71.83%","1,132","61.19%","15,349","70.92%"
"White","5,471","27.64%","702","37.95%","6,173","28.52%"
"Hispanic","69","0.35%","6","0.32%","75","0.35%"
"Native American","20","0.10%","5","0.27%","25","0.12%"
"Asian","14","0.07%","5","0.27%","19","0.09%"
"Data Unavailable","1","0.01%","","0.00%","1","0.00%"
"TOTAL","19,792","100.00%","1,850","100.00%","21,642","100.00%"
