"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","14,273","72.41%","1,114","60.87%","15,387","71.43%"
"White","5,332","27.05%","696","38.03%","6,028","27.98%"
"Hispanic","73","0.37%","9","0.49%","82","0.38%"
"Native American","16","0.08%","6","0.33%","22","0.10%"
"Asian","16","0.08%","","0.27%","21","0.10%"
"Data Unavailable","1","0.01%","5 0","0.00%","1","0.00%"
"TOTAL","19,711","100.00%","1,830","100.00%","21,541","100.00%"
