"MALE","BLACK","WHTIE","HISPANIC","OTHER","TOTAL","%"
"Less than 1 year","302","218","1","0","521","2.27"
"1 - 2 Years","1002","728","12","2","1,744","7.59"
"3 - 5 Years","2,894","1,629","31","5","4,559","19.84"
"6 - 10 Years","4,022","1,970","49","12","6,053","26.35"
"11 - 20 Years","3,639","1,494","38","13","5,184","22.56"
"21 -30 Years","1,128","383","14","12","1,537","6.69"
"Greater Than 30 Years","684","174","5","3","866","3.77"
"Life","1,401","514","9","4","1,928","8.39"
"Death","29","18","0","1","48",".21"
"Verification Pending","312","210","8","5","535","2.33"
"TOTAL","15,413","7,338","167","57","22,975","100.00"
