"","","TOTAL","10,042","41.30"
"","","NUMBER","","%"
"","Northern","8,295","","32.89"
"","Central","6,230","","24.70"
"TOTAL","","","",""
"","Southern","10,574","","41.92"
"","Verification Pending","125","",".50"
"","TOTAL","25,224","","100.00"
