"Min. Community","169","338","2","1","0","510"
"Min. Non-Community","189","246","2","1","0","438"
"Medium","357","387","4","2","0","750"
"Close","37","12","0","0","0","49"
"Death Row","0","2","0","0","0","2"
"*Unclassified","188","303","2","1","0","494"
"TOTAL","940","1,288","10","5","0","2,243"
"PERCENT","41.91","57.42",".45",".22",".00","100.00"
