"MALE","BLACK","WHITE","HISPANIC","OTHER","TOTAL"
"14","1","0","0","0","1"
"15","4","0","0","0","4"
"16","7","1","0","0","8"
"17","32","2","0","0","34"
"18 - 19","364","94","2","1","461"
"20 - 29","5,443","2,107","45","27","7,622"
"30 - 39","5,013","2,178","61","16","7,268"
"40 - 49","2,778","1,717","36","13","4,544"
"50 - 59","1,434","940","18","3","2,395"
"60 - 69","292","231","4","2","529"
"70 - 79","38","60","1","0","99"
"80+","6","8","0","0","14"
"Verification Pending","1","0","0","0","1"
"TOTAL","15,413","7,338","167","62","22,980"
