"COUNTY","OFFENDERS","%"
"Adams","249","4.00"
"Lincoln","355","5.70"
"Amite","89","1.43"
"Madison","817","13.11"
"Claiborne","86","1.38"
"Pike","542","8.70"
"Copiah","240","3.85"
"Rankin","1,152","18.49"
"Franklin","56",".90"
"Sharkey","28",".45"
"Hinds","1,616","25.94"
"Walthall","144","2.31"
"Holmes","126","2.02"
"Warren","406","6.52"
"Humphreys","75","1.20"
"Wilkinson","43","0.69"
"Issaquena","3",".05"
"Yazoo","148","2.38"
"Jefferson","55",".88"
"TOTAL","6,230","24.70"
