"FACILITY","MAR","APR","MAY","JUN"
"Mississippi State Penitentiary","3,253","3,283","3,296","3,287"
"Central Mississippi Correctional Facility","3,085","3,111","3,103","3,195"
"South Mississippi Correctional Institution","3,170","3,174","3,172","3,182"
"County Jails","2,221","2,209","2,176","2,072"
"Community Work Centers","1,460","1,526","1,571","1,598"
"County/Regional Facilities","4,265","4,269","4,272","4,335"
"Private Prisons","4,148","4,188","4,271","4,294"
"Restitution Centers","11","9","13","11"
"Governor's Mansion","0","0","0","0"
"*E-CODE","19","12","15","18"
"TOTAL","21,631","21,782","21,888","21,993"
"ACTUAL CAPACITY","25,467","25,553","25,553","25,553"
