"FACILITY","JUL","AUG","SEP","OCT"
"Mississippi State Penitentiary","3,093","3,079","3,168","3,055"
"Central Mississippi Correctional Facility","3,258","3,226","3,256","3,037"
"South Mississippi Correctional Institution","3,134","3,108","3,293","3,196"
"County Jails","1,833","1,908","1,958","1,965"
"Community Work Centers","1,568","1,557","1,576","1,507"
"County/Regional Facilities","3,273","3,275","3,430","3,484"
"Private Prisons","5,116","5,154","5,451","5,180"
"Restitution Centers","10","8","10","11"
"Governor's Mansion","5","4","5","5"
"*E-CODE","15","15","23","22"
"TOTAL","21,304","21,335","22,170","21,462"
"ACTUAL CAPACITY","23,543","23,546","23,882","23,882"
