"CLASS","FEMALE","%"
"Min. Community","510","22.74"
"Min. Non-Community","438","19.53"
"Medium","750","33.44"
"Close","49","2.18"
"Death Row","2",".09"
"*Unclassified","494","22.02"
"TOTAL","2,243","100.00"
