"MALE","BLACK","WHITE","HISPANIC","OTHER","UNKNOWN","TOTAL"
"*Y","0","0","0","0","0","0"
"*0","1","1","0","0","0","4"
"1","11,301","4,755","112","40","4","16,212"
"2","2,345","1,377","28","6","0","3,756"
"3","1,053","575","6","0","0","1,634"
"4","131","105","4","1","0","241"
"5","41","18","0","0","0","59"
"Verification Pending","541","507","17","10","1","1,030"
"TOTAL","15,413","7,338","167","57","5","22,980"
