"FEMALE","BLACK","WHITE","HISPANIC","OTHER","TOTAL"
"15","0","0","0","0","0"
"16","0","0","0","0","0"
"17","0","0","0","0","0"
"18 - 19","10","4","0","0","14"
"20 - 29","289","350","4","4","647"
"30 - 39","320","462","3","2","787"
"40 - 49","226","309","2","1","538"
"50 - 59","79","133","0","0","212"
"60 - 69","13","26","1","0","40"
"70 - 79","2","4","0","0","6"
"80+","0","0","0","0","0"
"TOTAL","939","1,288","10","7","2,244"
