"Security Staff by Rank 
Authorized 
  
Filled","","",""
"Correctional Officer Trainee","500","","485"
"Correctional Officer I","450","","408"
"Correctional Officer II","300","","175"
"Correctional Officer III","300","","176"
"Correctional Officer IV","800","","635"
"Correctional Supervisor","190","","166"
"Correctional Commander","74","","67"
"Correctional Administrator","0","","0"
"Deputy Warden","11","","11"
"Warden","9","","8"
"Field Worker","28","","18"
"Field Officer I","26","","20"
"Field Officer II","56","","48"
"Field Officer III","156","","144"
"TOTAL","2,900","","2,361"
