"State Prisons","Authorized 
Positions","Filled 
Positions"
"Central Mississippi Correctional Facility","655","563"
"Mississippi State Penitentiary","1,396","1,262"
"South Mississippi Correctional Institution","515","445"
"TOTAL STATE PRISONS","2,566","2,270"
