"C","D1","D2","E",""
"COMMODITIES","CAP OUTLAY-OTHER","EQUIPMENT","SUBSIDIES","TOTAL"
"$ 13,991,571","$ 134,899","$ 1,201,374","$ 68,800","$ 136,937,284"
"$ 1,298,830","$                          -","$ 117,952","$ 343,475","$ 6,594,008"
"$                          -","$                          -","$                   -","$                      -","$ 28,742,455"
"$                          -","$                          -","$                   -","$                      -","$ 13,207,945"
"$                          -","$                          -","$                   -","$                      -","$ 30,913,510"
"$                          -","$                          -","$                   -","$                      -","$ 18,420,388"
"$                          -","$                          -","$                   -","$                      -","$ 11,533,532"
"$ 159,035","$                          -","$                   -","$                      -","$ 630,714"
"$ 518,890","$                          -","$ 737,946","$                      -","$ 10,114,966"
"$ 4,188","$                          -","$ 59,701","$                      -","$ 63,889"
"$                          -","$                          -","$                   -","$                      -","$                    -"
"$ 1,545,895","$ 79,360","$ 110,347","$                      -","$ 2,481,313"
"$ 12,444","$                          -","$                   -","$                      -","$ 20,111"
"$ 3,625","$                          -","$                   -","$                      -","$ 583,278"
"$ 38,964","$ 45,389","$                   -","$                      -","$ 23,325,297"
"$                          -","$                          -","$                   -","$                      -","$ 2,799,714"
"$                          -","$                          -","$                   -","$                      -","$ 16,717,751"
"$                          -","$                          -","$                   -","$                      -","$ 5,878,797"
"$                          -","$                          -","$                   -","$                      -","$ 3,280,693"
"$ 17,573,442","$ 259,648","$ 2,227,320","$ 412,275","$ 312,245,645"
