"FIELD OFFICER CASELOADS","","","",""
"","Probation","Parole","ERS","ISP"
"REGION I","","","",""
"77 Field Officers","","","",""
"Total Caseload","5,579","681","806","527"
"","","","",""
"REGION II","","","",""
"69 Field Officers","","","",""
"Total Caseload","4,875","539","496","289"
"","","","",""
"REGION III","","","",""
"98 Field Officers","","","",""
"Total Caseload","6,965","932","841","549"
