"URINALYSIS SCREENING","","",""
"","Number 
Run","Number 
Positive","Positive 
Percent"
"ISP Court Sentenced & Prison Release","22,022","3,623","16.45%"
"Regular Caseload","29,296","10,597","36.17%"
"Inmates, CWCs & Restitution Centers","10,617","1,334","12.56%"
"Restitution Center Residents","2,535","258","10.18%"
"TOTAL","64,470","15,812","24.53%"
