COUNTY,5-Jun,4-Jun,3-Jun,2-Jun,1-Jun,Jun-00,Jun-99,Jun-98,Jun-97,Jun-96,Jun-95,TOTAL
Adams,33,6,19,19,30,17,23,0,0,0,4,151
Alcorn,46,25,25,24,11,0,0,21,31,25,0,162
Amite,22,28,12,11,11,0,0,0,0,0,0,62
Attala,2,5,11,9,6,5,7,14,10,2,0,69
Benton,1,1,3,6,1,2,0,0,0,0,13,26
Bolivar,15,27,31,43,32,35,22,38,40,24,0,292
Calhoun,5,2,9,20,14,9,11,5,12,0,5,87
Carroll,14,10,3,2,0,1,2,0,5,3,2,28
Chickasaw,17,36,18,17,20,16,15,7,11,2,0,142
Choctaw,2,1,5,5,3,6,6,6,4,1,0,37
Claiborne,1,1,4,5,8,4,0,1,0,0,0,23
Clarke,1,0,1,1,5,6,1,0,0,0,0,14
Clay,26,10,12,10,17,15,19,18,29,8,0,138
Coahoma,12,17,12,6,6,7,12,11,15,2,0,88
Copiah,8,17,12,19,26,21,7,16,1,1,0,120
Covington,1,7,4,3,0,0,0,0,0,0,0,14
DeSoto,27,16,15,17,14,31,33,2,0,0,0,128
Forrest,56,24,36,54,44,37,47,43,37,34,15,371
Franklin,7,0,14,5,5,0,0,0,1,0,0,25
George,19,30,29,28,7,1,0,0,0,0,0,95
Greene,6,0,7,7,4,0,0,0,0,0,0,18
Grenada,0,7,8,5,9,10,18,10,21,5,1,94
Hancock,14,5,11,10,22,3,1,3,17,10,0,82
Harrison,68,87,74,93,85,81,42,36,67,41,9,615
Hinds,50,56,48,53,67,68,53,59,59,51,22,536
Holmes,16,13,24,26,23,7,11,15,3,9,2,133
Humphreys,3,2,18,20,14,14,17,9,11,5,0,110
Issaquena,0,0,0,0,2,1,0,0,0,0,0,3
Itawamba,1,1,2,0,1,2,1,6,11,9,1,34
Jackson,38,39,61,81,22,15,8,4,10,9,1,250
Jasper,5,4,0,1,0,0,0,0,0,0,0,5
Jefferson,1,2,0,2,2,2,0,0,0,0,0,8
Jeff Davis,0,0,0,0,0,0,0,0,0,0,0,0
Jones,86,55,48,63,71,48,92,88,36,8,2,511
Kemper,1,2,0,4,0,0,0,1,0,0,0,7
Lafayette,13,18,16,16,26,24,17,0,0,0,0,117
Lamar,5,5,14,11,3,0,0,0,0,1,0,34
Lauderdale,10,19,18,20,23,16,20,11,0,0,0,127
Lawrence,0,0,0,0,0,0,0,0,0,0,0,0
Leake,6,4,13,6,0,0,0,0,0,0,0,23
Lee,30,42,35,46,27,31,40,31,38,14,10,314
Leflore,45,40,40,32,20,19,28,30,37,22,63,331
Lincoln,16,12,26,33,32,30,33,20,32,29,9,256
Lowndes,29,57,34,62,47,36,48,86,49,10,0,429
Madison,4,4,2,6,7,9,8,18,10,2,1,67
Marion,46,26,14,10,0,0,0,0,0,0,0,50
Marshall,15,43,20,19,18,21,13,0,0,0,0,134
Monroe,22,12,22,11,4,6,14,12,8,9,11,109
Montgomery,3,2,15,9,3,9,10,17,9,12,0,86
Neshoba,5,13,16,8,0,0,0,0,0,0,0,37
Newton,6,15,19,3,0,1,0,0,0,0,0,38
Noxubee,2,0,7,2,6,2,1,8,3,0,0,29
Oktibbeha,29,35,28,21,6,12,6,20,30,5,0,163
Panola,25,19,6,20,13,10,7,0,0,0,0,75
Pearl River,36,29,32,11,10,0,0,0,0,0,0,82
Perry,0,0,0,0,0,4,7,3,3,1,0,18
Pike,49,56,47,44,41,27,37,24,27,38,17,358
Pontotoc,19,17,7,10,12,5,6,11,10,9,4,91
Prentiss,26,22,15,15,22,12,22,16,8,20,14,166
Quitman,2,4,3,2,6,1,2,7,1,1,0,27
Rankin,53,47,36,31,33,41,27,21,11,9,3,259
Scott,5,2,8,4,0,0,0,0,0,0,0,14
Sharkey,3,0,0,5,1,5,1,0,0,0,0,12
Simpson,4,8,4,3,4,0,0,0,0,0,0,19
Smith,15,20,3,11,0,0,0,0,0,0,0,34
Stone,3,0,2,7,9,3,2,2,2,3,0,30
Sunflower,31,34,23,48,30,53,57,39,29,60,19,392
Tallahatchie,3,5,1,6,0,4,3,7,0,0,0,26
Tate,1,2,3,5,2,6,5,0,0,0,0,23
Tippah,8,2,6,9,15,5,7,0,2,1,0,47
Tishomingo,12,7,5,6,5,4,4,12,10,8,0,61
Tunica,2,1,6,4,5,7,0,3,0,0,0,26
Union,13,21,16,18,9,15,16,3,2,0,0,100
Walthall,1,0,2,10,8,6,2,6,9,5,4,52
Warren,18,12,13,15,26,22,49,41,30,7,0,215
Washington,66,70,52,89,102,91,87,79,103,101,17,791
Wayne,5,2,2,1,6,2,4,6,0,0,0,23
Webster,17,21,7,15,6,7,4,5,2,1,0,68
Wilkinson,1,0,2,3,9,0,0,0,0,0,0,14
Winston,2,1,6,19,15,12,13,18,18,2,0,104
Yalobusha,8,5,3,9,12,1,2,1,0,0,0,33
Yazoo,49,36,38,20,7,10,23,12,0,0,0,146
TOTALS,"1,367","1,326","1,263","1,424","1,212","1,033","1,073",982,914,619,249,"10,128"
