"Other State Offenders Supervised in Mississippi","","","","","",""
"","Jul","Aug","Sep","Oct","Nov","Dec"
"Parolees","451","464","453","437","449","447"
"Probationers","1,248","1,251","1,237","1,183","1,204","1,197"
"TOTAL","1,699","1,715","1,690","1,620","1,653","1,644"
