"Other State Offenders Supervised in Mississippi","","","","","",""
"Jan","Feb","Mar","Apr","May","Jun","Avg."
"457","465","461","453","446","467","454"
"1,209","1,213","1,207","1,190","1,173","1,253","1,214"
"1,666","1,678","1,668","1,643","1,619","1,720","1,668"
