"19","8","13","23","18","18","18"
"57","63","61","69","63","71","71"
"102","88","139","109","133","143","122"
"79","101","66","61","50","192","92"
"35","31","32","54","24","42","39"
"3","1","0","0","0","2","2"
"104","88","141","109","133","143","91"
"16","23","71","44","27","63","67"
"19","24","23","18","22","39","29"
"0","2","4","3","0","1","2"
"0","2","0","1","0","1","1"
"17","31","39","28","41","42","48"
"5","4","5","4","9","7","12"
"3","31","66","25","32","129","55"
"148","120","172","155","304","570","256"
"0","0","0","0","0","0","0"
"0","0","0","0","0","5","0"
"607","617","832","703","1,922","1,468","1,260"
