"month","Jul","Aug","Sept","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Avg."
"Parolees Supervised in Other States","264","237","233","227","224","221","219","218","224","245","251","253","235"
"Probationers Supervised in Other States","1,011","1,011","987","961","959","949","947","925","953","973","985","988","971"
"TOTAL","1,275","1,248","1,220","1,188","1,183","1,170","1,166","1,143","1,177","1,218","1,236","1,241","1,205"
