"ANNUAL
TOTAL
COST
COST

INMATE
AVERAGE
OPERATING
PER
PER
YEAR
DAYS
POPULATION
COST
DAY
YEAR","","","","",""
"2005","4,229,129","11,587","","$ 147,397,761.00    $ 34.85    $ 12,720.25",""
"2004","4,530,714","12,379","","$ 165,568,118.00    $ 36.54    $ 13,373.64",""
"2003","4,345,615","11,905","","$ 161,154,849.00    $ 37.08    $ 13,535.83",""
"2002","4,214,787","11,547","","$ 160,599,994.00    $ 38.10    $ 13,907.94",""
"2001","4,118,814","11,284","","$ 159,174,281.00    $ 38.65    $ 14,105.67",""
"2000","3,665,197","10,042","","$ 157,276,087.00    $ 42.91    $ 15,662.40",""
"1999","3,602,002","9,868","","$ 146,086,332.00    $ 40.56    $ 14,803.30",""
"1998","3,691,975","10,115","","$ 142,212,354.00    $ 38.52    $ 14,059.55",""
"1997","3,616,795","9,909","","$ 138,160,057.00    $ 38.20    $ 13,942.85",""
"1996","3,664,593","10,040","","$ 127,192,809.00    $ 34.71    $ 12,668.63",""
