"Security Staff by Rank 
Authorized 
  
Filled","","",""
"Cadets","2296****","","0"
"CO Trainee","","","416"
"CO I","","","258"
"CO II","","","240"
"CO III","","","198"
"CO IV","","","733"
"Correctional Supervisor","192","","146"
"Correctional Commander","74","","65"
"Correctional Administrator","4","","1"
"Deputy Warden","11","","11"
"Warden","11","","8"
"Field Worker","19","","17"
"FO I","30","","25"
"FO II","57","","51"
"FO III","146","","131"
"TOTAL","2,840","","2,300"
