"","","","","","$                   -"
"","","","","","$277,222,758"
"$11,966,259","$4,098,625","$63,179,608","$26,828,626","$1,702,628","$203,653,497"
"$0","$0","$1,258,221","$6,081,437","$0","$33,067,715"
"$358,988","$122,959","$2,196,861","$1,278,788","$132,592","$9,500,214"
"$0","$0","$0","$0","$155,490","$27,829,537"
"$0","$0","$0","$0","$0","$2,677,170"
"$0","$0","$122,289","$71,184","$0","$494,625"
"$12,325,247","$4,221,584","$66,756,980","$34,260,035","$1,990,710","$277,222,758"
"","","","","","$0"
"","","","","","$277,222,758"
