"","OTHER","","","",""
"$12,457,124","","$141,059","$560,341","$201,204","$127,523,223"
"$47,927","","$0","$57,687","$95,490","$4,481,184"
"$0","","$0","$0","$0","$0"
"$0","","$0","$0","$0","$39,060,014"
"$0","","$0","$0","$0","$ 8,356,186"
"$0","","$0","$0","$0","$15,763,408"
"$0","","$0","$0","$0","$20,046,821"
"$0","","$0","$0","$0","$6,781,805"
"$39,956","","$0","$0","$0","$643,735"
"$194,058","","$0","$489,686","$150,000","$ 8,008,410"
"$0","","$0","$48,021","$0","$48,021"
"$0","","$0","$0","$0","$0"
"$1,420,973","","$153,635","$185,727","$ 8,015","$2,638,046"
"$14,632","","$0","$10,041","$783","$39,124"
"$9,793","","$0","$0","$0","$494,625"
"$0","","$0","$0","$0","$24,201,912"
"$0","","$0","$0","$0","$ 8,865,803"
"$0","","$0","$0","$0","$ 8,446,281"
"$0","","$0","$0","$0","$1,824,160"
"$14,184,463","","$294,694","$1,351,503","$455,492","$277,222,758"
