"OFFENSE","NO. OF OFFENDERS","% of OFFENDERS"
"Drug","4,272","47.57%"
"Non-Violent","3,298","36.72%"
"Sex","139","1.55%"
"Violent","1,272","14.16%"
"TOTAL","8,981","100.00%"
