"OFFENSE","NO. OF OFFENDERS","% of TOTAL OFFENDERS"
"Drug","4,534","66.66%"
"Property","1,720","25.29%"
"Violent","503","7.39%"
"Sex","45",".66%"
"TOTAL","6,802","100.00%"
