"OFFENSE","NO. OF OFFENDERS","% of TOTAL OFFENDERS"
"Drug","4,541","66.47%"
"Property","1,647","24.11%"
"Violent","601","8.80%"
"Sex","43",".63%"
"TOTAL","6,832","100.00%"
