"OFFENSE","NO. OF OFFENDERS","% of OFFENDERS"
"Drug","4,223","47.68%"
"Non-Violent","3,215","36.30%"
"Sex","141","1.59%"
"Violent","1,278","14.43%"
"TOTAL","8,857","100.00%"
