"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","3,337","62.60%","442","37.55%","3,779","58.07%"
"White","1,954","36.65%","723","61.43%","2,677","41.13%"
"Hispanic","22",".41%","10",".85%","32",".49%"
"Native American","5",".09%","2",".17%","7",".11%"
"Asian","9",".17%","0",".00%","9",".14%"
"Data Unavailable","4",".08%","0",".00%","4",".06%"
"TOTAL","5,331","100.00%","1,177","100.00%","6,508","100.00%"
